,tweets,id,len,date,source,likes,retweets,sentiment
11,"Katie Holmes's minimal kicks are packed with an ethical, eco-friendly message. https://t.co/3p8LjaKKQo",1194418599554887680,102,2019-11-13 00:56:00,SocialFlow,30,5,1
12,"Self-care is a commitment, but this brand is making it easier to add a multivitamin to your regime. https://t.co/KU5NeCceJh",1194412792696246272,123,2019-11-13 00:32:55,SocialFlow,32,2,0
13,"“I feel as a mother, I just want to put my arms around her. I want to tell her to hang in there. Don’t let those ba… https://t.co/w48D19mLTY",1194407464814428160,140,2019-11-13 00:11:45,SocialFlow,167,22,0
14,A millennial twist on Princess Diana's iconic sporty style. https://t.co/4FnHFYIbjT,1194402223159164929,83,2019-11-12 23:50:55,SocialFlow,114,21,1
15,"There were too many takeaways to count at the 2019 #GlamourWOTY Awards, but that’s exactly what @GlamourMag's edito… https://t.co/hGZGM6rFAa",1194397019734974464,140,2019-11-12 23:30:14,SocialFlow,52,12,1
16,Looks like baby Archie may be spending Christmas stateside! https://t.co/NnoR6m472v,1194391549469249536,83,2019-11-12 23:08:30,SocialFlow,76,13,0
17,Would you expect anything less from Captain Jean-Luc Picard? https://t.co/zSC1uRfTOf,1194385821471825921,84,2019-11-12 22:45:45,SocialFlow,100,10,-1
18,"It’s a bird. It’s a plane. It’s @Harry_Styles as the tender, well-dressed rockstar of today. https://t.co/wyi4N9IYTO",1194380118636019712,116,2019-11-12 22:23:05,SocialFlow,5166,945,0
19,Did we miss anything? https://t.co/KLdzDZw2F6,1194374589343764480,45,2019-11-12 22:01:07,SocialFlow,59,5,0
20,Australian photographer Simon Burstall shares a look into the '90s Sydney rave scene with his photographs. https://t.co/2nXAxz9aLu,1194370438178263040,130,2019-11-12 21:44:37,SocialFlow,48,10,0
21,"""I’ve been using fragrance to help me define each character I’ve played since I was 16."" https://t.co/Oxq7TvX8lO",1194365087714336768,112,2019-11-12 21:23:21,SocialFlow,121,17,0
22,"Vogue Wedding's Editor, Alex Macon, is here to consult the experts on your most pressing matrimonial worries and wo… https://t.co/UELJOyfTb9",1194359553015463937,140,2019-11-12 21:01:22,SocialFlow,64,11,1
23,"As Rashid Johnson prepares for a major New York show, he proves he’s an artist unafraid of any medium. https://t.co/PwgFNZEwwR",1194353852453134336,126,2019-11-12 20:38:43,SocialFlow,43,10,1
24,"Fashion in Lagos is booming, and designer and founder of @TTYALondon, Irene Agbontaen, has seen the changes firstha… https://t.co/eIHDhwqbwi",1194348248036593664,140,2019-11-12 20:16:26,SocialFlow,49,16,0
25,Walt Cassidy revives his '90s alter ego Waltpaper with his New York: Club Kids Book– and a collaboration with… https://t.co/uvCZK4y9yx,1194342573311234051,134,2019-11-12 19:53:53,SocialFlow,39,6,1
26,Even royals favor a practical pair of footwear! https://t.co/MrolZGCPmz,1194336991384653830,71,2019-11-12 19:31:43,SocialFlow,77,15,0
27,Keep warm all winter long in one of our top fleece picks: https://t.co/qM7233JAt0,1194331475707080704,81,2019-11-12 19:09:48,SocialFlow,38,6,1
28,"It’s a bird. It’s a plane. It’s @HarryStyles as the tender, well-dressed rockstar of today. https://t.co/cfNVeq4b6K",1194326434250207233,115,2019-11-12 18:49:46,SocialFlow,457,89,0
29,The many reasons why the world of fashion and beauty can't get enough of @EuphoriaHBO. https://t.co/qvd5CD88j9,1194320785076359170,110,2019-11-12 18:27:19,SocialFlow,90,16,1
30,"Designers Beckett Fogg and Piotrek Panszczyk are revising classic forms with crystal- embellished, more-is-more éla… https://t.co/Wp8bBCuxWW",1194315133973078017,140,2019-11-12 18:04:51,SocialFlow,33,4,1
31,Everything to know about the series so far. https://t.co/biyoRcHKpI,1194309954049658883,67,2019-11-12 17:44:16,SocialFlow,62,12,1
32,The comedians we'd love to say hello to every weeknight. https://t.co/u7XKRqi88N,1194304537156296704,80,2019-11-12 17:22:45,SocialFlow,68,11,1
33,"""If I'm the only candidate that's going to tell the truth on that in this cycle,"" @JulianCastro told Vogue, ""then s… https://t.co/JyEQim1HOG",1194299041565290499,140,2019-11-12 17:00:55,SocialFlow,86,48,0
34,Reiner Holzemer's new documentary shows the elusive Martin Margiela in a new light. https://t.co/ZR1K4tjiWX,1194293968361709568,107,2019-11-12 16:40:45,SocialFlow,62,11,1
35,Charlize Theron debuted an entirely refreshed look. https://t.co/Oo1o6j4tbo,1194288816238080001,75,2019-11-12 16:20:17,SocialFlow,88,11,0
36,"9 pumpkin oils, masks, and more to spice up your beauty routine: https://t.co/zeT8fPfZw1",1194283590508568579,88,2019-11-12 15:59:31,SocialFlow,50,6,1
37,"19 of the best knit dresses, just in time for sweater weather. https://t.co/aoSjTGmr0E",1194278101544517633,86,2019-11-12 15:37:42,SocialFlow,57,13,1
38,These 13 new beauty products will change your life this season: https://t.co/dehthpk6HN,1194272584868810752,87,2019-11-12 15:15:47,SocialFlow,49,13,1
39,"Björk is not averse to luxury—but she is best known for supporting “indie” brands, especially those that are explor… https://t.co/XfmFlanMuy",1194267198535151616,140,2019-11-12 14:54:23,SocialFlow,100,24,1
40,"Clarke spoke to Vogue about her new film, Last Christmas, and what she would gift Daenerys for Christmas. https://t.co/4ryygUdlyP",1194262099377246208,129,2019-11-12 14:34:07,SocialFlow,81,12,1
41,"Meet Gianno, the new super chunky, hiking boot-inspired sneaker. https://t.co/6CjsMD6lqN",1194256628058673155,88,2019-11-12 14:12:23,SocialFlow,64,8,1
42,"""We can't go around thanking black women for powering Democrats to victory all over the country, and then at the sa… https://t.co/UBgpJp6vUc",1194251266966339585,140,2019-11-12 13:51:04,SocialFlow,999,314,-1
43,Here is everything we know so far about the new #GameofThrones prequel. https://t.co/WxHYPAjSpj,1194248500961316864,95,2019-11-12 13:40:05,SocialFlow,130,28,1
44,"Friends fans, rejoice! https://t.co/aXnXI334FM",1194243004774658048,46,2019-11-12 13:18:14,SocialFlow,212,40,0
45,"“I think it’s just because I try to be myself."" https://t.co/2ECsXyvaVo",1194237672392462337,71,2019-11-12 12:57:03,SocialFlow,138,19,0
46,"Rachel, Monica, and Phoebe reunited! https://t.co/Kx58fSdDc6",1194232586144550913,60,2019-11-12 12:36:50,SocialFlow,253,26,0
47,Her throwback look for the People's Choice Awards evokes the decade’s signature minimalism. https://t.co/qJTmLVEmAB,1194227182652051457,115,2019-11-12 12:15:22,SocialFlow,76,9,0
48,She put a modern take on office attire. https://t.co/ftFXpDPF3e,1194222143401275392,63,2019-11-12 11:55:21,SocialFlow,87,18,1
49,The biggest eyewear trend this fall? It’s all about sleazy-chic styles. https://t.co/R2lVjTrHne,1194216765364068354,95,2019-11-12 11:33:58,SocialFlow,68,15,0
50,Nothing was traditional—not even their wedding looks. https://t.co/CF83oSz3s1,1194211409032351745,77,2019-11-12 11:12:41,SocialFlow,91,13,0
51,Ripped jeans are back in fashion. https://t.co/TR3eUcBHyF,1194206105431367680,57,2019-11-12 10:51:37,SocialFlow,67,9,0
52,Had a long night? Then take a tip from Bella Hadid. https://t.co/zPhJQmhQep,1194200825276579840,75,2019-11-12 10:30:38,SocialFlow,73,10,-1
53,"You didn’t think @MarcJacobs would wear flats, did you? https://t.co/DBgowvsnox",1194195648331038726,79,2019-11-12 10:10:04,SocialFlow,97,9,0
54,The latest celebrity to support teen climate activist Greta Thunberg is non other than Leonardo DiCaprio. https://t.co/IEkSQJdYeZ,1194190482982739969,129,2019-11-12 09:49:32,SocialFlow,298,26,1
55,Surfacing at @ChristiesInc’s Impressionist and Modern Art Works on Paper sale is one of the Surrealist’s most encha… https://t.co/8jcg4L2OS3,1194185372177182720,140,2019-11-12 09:29:14,SocialFlow,49,11,1
56,"Despite its romantic reputation, Santorini has plenty to offer solo, group, and family travelers. https://t.co/EuQx0svVbw",1194180239842332677,121,2019-11-12 09:08:50,SocialFlow,103,17,0
57,.@Rihanna's latest launch for #Fenty features cameos celebrating the beauty of black women. https://t.co/RW1mXCmmQN,1194175059621007360,115,2019-11-12 08:48:15,SocialFlow,140,20,1
58,Katie Holmes has been serving a number of winning style moments over the past few months. https://t.co/00PT88ScfM,1194169842099720192,113,2019-11-12 08:27:31,SocialFlow,55,6,1
59,Rose Byrne is a very convincing Gloria Steinem. https://t.co/rB8CGfQzVn,1194164712692428800,71,2019-11-12 08:07:08,SocialFlow,104,22,1
60,Harry Styles is bringing men’s bell-bottoms back. https://t.co/f3Ar3aY36v,1194159380968681472,73,2019-11-12 07:45:57,SocialFlow,215,26,0
61,"Our editors have rounded up the season’s very best, most high-quality black boots to invest in this fall. https://t.co/1XGqFJmqKT",1194154129402277888,129,2019-11-12 07:25:05,SocialFlow,87,11,1
62,"And it has a sentimental story attached to it, too. https://t.co/TgOsMusPK1",1194148919367913472,75,2019-11-12 07:04:23,SocialFlow,57,8,-1
63,Annie Leibovitz names the five images that have shaped her career and shares the stories behind them: https://t.co/KTgZK3HLsy,1194143800895168512,125,2019-11-12 06:44:02,SocialFlow,98,20,-1
64,Here is what we know about Gossip Girl's return. https://t.co/TKYhr7DApw,1194138576033927168,72,2019-11-12 06:23:17,SocialFlow,214,33,0
65,Kristen Stewart knows how to make the classic two-piece feel cool. https://t.co/JQjlpCeIQY,1194133449927544833,90,2019-11-12 06:02:55,SocialFlow,189,29,1
66,14 wedding industry experts share what trends will ultimately make your wedding photos look dated. https://t.co/gqIz3nj7cy,1194128402330116096,122,2019-11-12 05:42:51,SocialFlow,30,5,0
67,An exhaustive list of the best romantic comedies for any and all occasions. https://t.co/YlFcd9jLZj,1194123345987604481,99,2019-11-12 05:22:46,SocialFlow,131,26,1
68,"Going to someone else's home for the holidays? Be the guest that impresses with one of these gifts: 
https://t.co/WBuBwTTUCi",1194118307323858944,124,2019-11-12 05:02:44,SocialFlow,51,9,0
69,5 floral arrangements inspired by historic royal weddings. https://t.co/XzeDCEvFo4,1194113169897197568,82,2019-11-12 04:42:19,SocialFlow,77,6,0
70,"One Vogue writer reflects on why Carrie Bradshaw's ""gay boyfriend"" Stanford deserved so much more. https://t.co/t3VDV2TZLH",1194107318516011009,122,2019-11-12 04:19:04,SocialFlow,114,16,1
71,They merge sport shoes and heels into one. https://t.co/l2PmIsfx7o,1194101484658577408,66,2019-11-12 03:55:53,SocialFlow,100,18,0
72,Christian Lacroix talks us through highlights of his 22 years in couture. https://t.co/ZhdYiELOSJ,1194095780585517056,97,2019-11-12 03:33:13,SocialFlow,142,47,0
73,"Meet Nemonte Nenquimo, Emergildo Criollo, Sandro Piaguaje, and Pablo Maniguaje, a group of indigenous leaders who h… https://t.co/P89qTJaXRd",1194090205516632066,140,2019-11-12 03:11:04,SocialFlow,89,21,0
74,8 better-than-black nail polish colors for fall. https://t.co/XIHRHuKDO8,1194084690187182082,72,2019-11-12 02:49:09,SocialFlow,43,6,1
75,Bella Hadid proves that nippy weather is no excuse to skimp on style. https://t.co/Njiv7pOI2R,1194078944066199552,93,2019-11-12 02:26:19,SocialFlow,63,9,1
76,These are not your average floral arrangements. https://t.co/PIR8zw7Cpy,1194073503743524866,71,2019-11-12 02:04:42,SocialFlow,309,54,-1
77,See The Crown's cast as compared to their real-life counterparts: https://t.co/Ohol4F7uRo,1194068052515737602,89,2019-11-12 01:43:03,SocialFlow,120,23,1
78,Wouldn't it be great if this attitude spread far and wide: that being single (or self-partnered) is something to ce… https://t.co/PmrATRWMgl,1194062751162871809,140,2019-11-12 01:21:59,SocialFlow,426,64,1
79,"In honor of Gossip Girl’s impending return, here are 9 Upper East Sider-approved headbands. https://t.co/nbrBsyzI3z",1194057511671934977,115,2019-11-12 01:01:09,SocialFlow,114,27,0
80,.@SwaeLee took his love of eye-catching patterns to an extreme. https://t.co/iucVJjviDV,1194051962557349889,87,2019-11-12 00:39:06,SocialFlow,286,31,1
81,"Thanks to Emma Watson, the term “single” may well be on its way out. Here is the term she prefers to use instead. https://t.co/wnWPc7foLQ",1194046390231601154,137,2019-11-12 00:16:58,SocialFlow,62,7,1
82,"It's hard to do justice to Princess Diana’s legendary sense of style, but The Crown star Emma Corrin makes it look… https://t.co/XHKNcC7LBk",1194040547272314880,139,2019-11-11 23:53:45,SocialFlow,98,15,1
83,"When Keanu smiles, the whole world smiles with him. https://t.co/l42ymQS2rt",1194035147617787904,75,2019-11-11 23:32:17,SocialFlow,183,23,1
84,It's all about the bike ride fit! https://t.co/2q3k18FHtX,1194029607026135040,57,2019-11-11 23:10:16,SocialFlow,64,4,1
85,See The Crown's cast as compared to their real-life counterparts: https://t.co/UVCAkworCU,1194024232050741249,89,2019-11-11 22:48:55,SocialFlow,137,26,1
86,Warning: Contains major spoilers for Last Christmas. https://t.co/R38LF9vm2q,1194018709175775234,76,2019-11-11 22:26:58,SocialFlow,51,3,1
87,One Vogue writer visits Barneys for the first time before its closing and shares her experience. https://t.co/UdnRDvmgjV,1194013157687201797,120,2019-11-11 22:04:55,SocialFlow,128,16,1
88,There's sure to be a shearling coat to suit your cold weather style needs. https://t.co/4iDPpEd07q,1194007684569354242,98,2019-11-11 21:43:10,SocialFlow,47,13,-1
89,"Five concrete, effective ways to participate now. https://t.co/ngVhuksD5J",1194002114856595456,73,2019-11-11 21:21:02,SocialFlow,32,6,1
90,13 beautiful cheese boards and plates that will add some culinary style to any party. https://t.co/mVXBaPQrdt,1193996723368210438,109,2019-11-11 20:59:36,SocialFlow,75,14,1
91,"Long or cropped, boxy or belted: The season’s most stylish coats go for a walk on the wild side with @KendallJenner. https://t.co/35nNVQ5HGM",1193991256675946498,140,2019-11-11 20:37:53,SocialFlow,56,12,1
92,"This is Bode's first time bringing her homeware to market, with all of the pieces exclusive to Maiden Name. https://t.co/L1m2L25KX4",1193986087850532865,131,2019-11-11 20:17:21,SocialFlow,36,5,1
93,".@GiseleOfficial's casual, pared-back outfits master the art of easy, breezy dressing. https://t.co/XJdCvEVovI",1193980828033994753,110,2019-11-11 19:56:27,SocialFlow,89,16,-1
94,"A holistic approach to warding off the basic cold this winter. 
https://t.co/PkI3OpPGNb",1193975065085456386,87,2019-11-11 19:33:33,SocialFlow,50,8,-1
95,.@DuaLipa proves a snag in tights can be chic. https://t.co/tX1VosKreq,1193969478507339776,70,2019-11-11 19:11:21,SocialFlow,62,9,1
96,"Fans of the Netflix series You will be getting a slightly late Christmas present on December 26, 2019: The season t… https://t.co/AaWG2JLSnI",1193964153855258624,140,2019-11-11 18:50:11,SocialFlow,212,43,-1
97,Perfect for the ultimate cold weather bridal look. https://t.co/4y2Nu89zNW,1193958889194172418,74,2019-11-11 18:29:16,SocialFlow,47,13,1
98,"In the midst of her whirlwind Magnetic Moon Tour, covering 18 cities in four weeks, K-pop star @TiffanyYoung shares… https://t.co/RIrTNQliOO",1193953645135618048,140,2019-11-11 18:08:26,SocialFlow,2002,1082,0
99,"""I wanted our wedding to be kind of like a psychedelic cross between Dr. Seuss and the movie FernGully, but didn’t… https://t.co/8IZPBZuBio",1193948133467840514,139,2019-11-11 17:46:32,SocialFlow,99,14,1
100,"American Impressionist Mary Rogers Williams (1857–1907) was, in many ways, more than a century ahead of her time. https://t.co/nvT9T2hDRV",1193937251283156997,137,2019-11-11 17:03:17,SocialFlow,99,25,1
101,"The Baby2Baby gala always attracts a starry crowd and this year’s event, which took place in Los Angeles over the w… https://t.co/RT9bsUZruu",1193931603996794881,140,2019-11-11 16:40:51,SocialFlow,75,15,0
102,Can a trip to your hair colorist clear your energy and restore the spirit? https://t.co/ueUqtFJ2Pp,1193926122905493506,98,2019-11-11 16:19:04,SocialFlow,34,2,1
103,"Princess Ira von Furstenberg’s captivating life is captured a new biography by Nicholas Foulkes, “Ira: The Life and… https://t.co/XDq7mb9Y7i",1193920752699019274,140,2019-11-11 15:57:44,SocialFlow,40,5,1
104,"Inspired by runway innovators, the world’s most stylish sought out alterna-chic gowns and off-beat suits for late f… https://t.co/422LYtAD4Q",1193915230851620869,140,2019-11-11 15:35:47,SocialFlow,66,12,1
105,"The guest list included a mishmash of people plucked from all corners of the country, including @CynthiaErivo,… https://t.co/vpzmrC76ry",1193909658894970882,135,2019-11-11 15:13:39,SocialFlow,23,7,0
106,"Before she ran for U.S. Congress,@RepLucyMcBath was a grieving mom. Now she’s one of Washington’s most relentless a… https://t.co/ut7O73kpws",1193904415301914629,140,2019-11-11 14:52:48,SocialFlow,47,14,1
107,"They were first popularized in Russia in the 1740s by the Empress Elizabeth I, the daughter of Peter the Great, and… https://t.co/PQQ1T0sh6p",1193902884057993221,140,2019-11-11 14:46:43,SocialFlow,64,11,1
108,"Ahead of Thanksgiving, read all of our editor's tips—and shop their go-to shoes, cashmere sweaters, and luggage, he… https://t.co/wtqHo9GoE3",1193897413976764416,140,2019-11-11 14:24:59,SocialFlow,93,15,0
109,"In case you need more reasons to book a trip to Rio de Janeiro, Brazil. https://t.co/qN9dxV7qRp",1193892308288188417,95,2019-11-11 14:04:42,SocialFlow,118,22,1
110,"In lieu of It bags, Tokyo’s most stylish tucked their belongings into utility vests, harnesses, belt bags, or simpl… https://t.co/UWpOl9eFCl",1193887026271137793,140,2019-11-11 13:43:43,SocialFlow,70,13,1
111,"Is the slinky, sheer knit fall sweater the new sexy cardigan? We think so. https://t.co/3JP0iWeSDK",1193881753099915264,98,2019-11-11 13:22:45,SocialFlow,58,5,1
112,"This all-natural hair-care line out of Iceland, Sóley Organics, is worth the round-trip ticket. https://t.co/vMSRrhg5Ry",1193876345941565440,119,2019-11-11 13:01:16,SocialFlow,72,10,1
113,13 beautiful cheese boards and plates that will add some culinary style to any party. https://t.co/NPkERHUyFn,1193871192500981763,109,2019-11-11 12:40:48,SocialFlow,115,20,1
114,Gwyneth Paltrow's sleek get-up is reminiscent of the beloved styles she wore throughout the ’90s. https://t.co/TmqIJ5pTsw,1193866118592684032,121,2019-11-11 12:20:38,SocialFlow,122,18,1
115,The theme for the 2020 #MetGala and @metmuseum Costume Institute exhibition is finally here. https://t.co/lP6xkOu6SE,1193860756774760449,116,2019-11-11 11:59:19,SocialFlow,56,16,0
116,The original guide to the scandalous lives of Manhattan's elite is returning for the reboot: @KristenBell. https://t.co/eNYVhqhT3b,1193855454000095232,130,2019-11-11 11:38:15,SocialFlow,211,32,1
117,Could you leave your phone behind for an 8-day trip? https://t.co/sRLKT32sOG,1193850415449858054,76,2019-11-11 11:18:14,SocialFlow,59,7,-1
118,It's time to dig out your cropped fuzzy sweater. https://t.co/gazaoKRN01,1193844972509974529,72,2019-11-11 10:56:36,SocialFlow,107,5,0
119,.@ImaanHammam's latest beauty look played up her gorgeous curls. https://t.co/yzO85tCBpK,1193839768569876480,88,2019-11-11 10:35:55,SocialFlow,58,3,1
120,"The best–and most comfortable–fall work shoes to choose from, hand picked by Vogue editors. https://t.co/pfrhmKeWyw",1193834590085042177,115,2019-11-11 10:15:21,SocialFlow,36,5,1
121,"Ruthlessly uncensored, outrageously hilarious, December cover star Phoebe Waller-Bridge has become everyone’s favor… https://t.co/ejsocPuUgk",1193829439634857984,140,2019-11-11 09:54:53,SocialFlow,66,9,-1
122,"Wondering where you can find the perfect sweater, jeans, or boots? Look no further than our editor-approved guide. https://t.co/xfMPFCV2Pt",1193824142874890240,138,2019-11-11 09:33:50,SocialFlow,117,7,1
123,Here's what happened when we spent 24 hours with @DebbyRyan. https://t.co/pxU54wpeJG,1193818764342702080,84,2019-11-11 09:12:28,SocialFlow,80,9,-1
124,"She never fails to elevate that laidback, easy mood. https://t.co/n5DWQ4t2mZ",1193813430173601792,76,2019-11-11 08:51:16,SocialFlow,121,12,1
125,A new fine-jewelry line puts @SerenaWilliams’s love of all that glitters on center court. https://t.co/f7EK7gnz19,1193808221582049280,113,2019-11-11 08:30:34,SocialFlow,85,13,1
126,The space hasn't been available to view since 1866. https://t.co/rIhvQFbOLz,1193802863207686144,75,2019-11-11 08:09:17,SocialFlow,57,11,1
127,"Hello, sweater weather. https://t.co/4WkDZZDV7a",1193797570721714178,47,2019-11-11 07:48:15,SocialFlow,71,10,0
128,She put a modern take on office attire. https://t.co/5XqrVLU8ob,1193792296787095553,63,2019-11-11 07:27:17,SocialFlow,101,14,1
129,Which wedding rituals might be better reinterpreted—or totally left in the past? https://t.co/fCDlM3cGqo,1193787015923404806,104,2019-11-11 07:06:18,SocialFlow,73,16,1
130,Looking for fall fashion inspiration? https://t.co/vFxzEMPwTn,1193781849744707585,61,2019-11-11 06:45:47,SocialFlow,85,17,0
131,The best recent men's jewelry moments. https://t.co/pJb9UiqX7X,1193776651693383680,62,2019-11-11 06:25:07,SocialFlow,212,31,1
132,How to vacation like Princess Margaret. https://t.co/C1BTXsjYfn,1193771455936450560,63,2019-11-11 06:04:28,SocialFlow,64,16,0
133,"“Clean eating”, “mindfulness”, “simplicity”? Princess Margaret doesn’t know them. https://t.co/uPQUqCpnrb",1193766181754343424,105,2019-11-11 05:43:31,SocialFlow,96,12,1
134,16 of the most stylish city hall wedding looks.  https://t.co/5PErCkrFkr,1193760901733724160,72,2019-11-11 05:22:32,SocialFlow,128,16,1
135,"On your next trip to France, go off the beaten path. https://t.co/0UFpYVFhBu",1193755610992578560,76,2019-11-11 05:01:31,SocialFlow,123,18,0
136,Need something new to watch? Here is our guide to the best TV of 2019 (so far). https://t.co/4I5b6Mshk0,1193750447527518208,103,2019-11-11 04:41:00,SocialFlow,60,10,1
137,"This winter, go big—or, better yet, stay home!—in the season’s chunkiest, coziest sweaters. https://t.co/Qghu4DMqF7",1193745235609866240,115,2019-11-11 04:20:17,SocialFlow,58,8,1
138,How much should you spend on a wedding gift? https://t.co/WuXWPaauXA,1193739711300460551,68,2019-11-11 03:58:20,SocialFlow,38,6,1
139,Her throwback look for the People's Choice Awards evokes the decade’s signature minimalism. https://t.co/yokW3gYoSG,1193734167722414081,115,2019-11-11 03:36:18,SocialFlow,112,12,0
140,Put Panama on your travel list this year. https://t.co/NulQtanStV,1193728783796363264,65,2019-11-11 03:14:55,SocialFlow,88,16,0
141,French weddings in general are more about “closeness and family than glitz and glam.” https://t.co/nX5Oz8nTsO,1193723285109985280,109,2019-11-11 02:53:04,SocialFlow,175,30,1
142,She stole the show with this look at tonight's People’s Choice Awards. https://t.co/pX127fCsJa,1193718003009048576,94,2019-11-11 02:32:04,SocialFlow,511,86,0
143,Go inside @cassiesuper and Alex Fine's intimate wedding ceremony in Malibu. https://t.co/0mt7q9YgJL,1193712868509794304,99,2019-11-11 02:11:40,SocialFlow,44,5,1
144,Had a long night? Then take a tip from Bella Hadid. https://t.co/1YX5Mq8iWe,1193707618889588737,75,2019-11-11 01:50:49,SocialFlow,86,4,-1
145,"A guide to the houses you should absolutely visit on your next trip to Champagne, France. https://t.co/E4oIbXKfd1",1193702222145699841,113,2019-11-11 01:29:22,SocialFlow,93,18,1
146,.@Emrata has the key to bringing the oversized jacket of Working Girl proportions into 2019. https://t.co/rnDYRoBuFM,1193697055228735488,116,2019-11-11 01:08:50,SocialFlow,332,23,0
147,Expert tips on how to consider the environment as you plan your next trip. https://t.co/6aAvKvV2v4,1193691908394115072,98,2019-11-11 00:48:23,SocialFlow,94,19,0
148,No trip to Tahiti is complete without a trip to a pearl farm. Here is our guide. https://t.co/KMXBaPrkoy,1193686599265144839,104,2019-11-11 00:27:17,SocialFlow,72,16,1
149,It’s also one of the safest to travel to. https://t.co/0onjJt4St7,1193681504917970945,65,2019-11-11 00:07:02,SocialFlow,85,16,0
150,Katie Holmes pulls off the seasonal slip dress with ease. https://t.co/LeUFz694ut,1193676285513519110,81,2019-11-10 23:46:18,SocialFlow,53,8,0
151,13 apples who didn’t fall far from the tree . . . and ended up on the runway: https://t.co/IyVJFZnIBA,1193670759979335687,101,2019-11-10 23:24:21,SocialFlow,72,5,1
152,How to make a serious fashion statement with your wedding and engagement rings: https://t.co/Ae62dj9gbl,1193665595528667136,103,2019-11-10 23:03:49,SocialFlow,88,9,-1
153,.@KimKardashian puts her own twist on the fall maxi skirt. https://t.co/JdAQKWLdjj,1193660433724583937,82,2019-11-10 22:43:19,SocialFlow,87,10,1
154,Selena Gomez is back in full force.  https://t.co/i8pODj8i7q,1193654960145260544,60,2019-11-10 22:21:34,SocialFlow,300,34,1
155,5 floral arrangements inspired by historic royal weddings. https://t.co/4fyuYdW7yU,1193649885142233089,82,2019-11-10 22:01:24,SocialFlow,72,13,0
156,An exhaustive list of the best romantic comedies for any and all occasions. https://t.co/9Wuhpb18Qq,1193644786860867591,99,2019-11-10 21:41:08,SocialFlow,571,111,1
157,The unspoken rules of which every wedding guest should be aware. https://t.co/W5WiyKK12e,1193639253135233026,88,2019-11-10 21:19:09,SocialFlow,60,8,1
158,"Love it or loathe it, the flip-flop heel is continuing into fall. https://t.co/YMN2wCKOvq",1193633716490440704,89,2019-11-10 20:57:09,SocialFlow,92,11,1
159,An exhaustive list of the best romantic comedies for any and all occasions. https://t.co/RAywVyisVT,1193628221213945862,99,2019-11-10 20:35:19,SocialFlow,230,33,1
160,"She never fails to elevate that laidback, easy mood. https://t.co/qEz68YmWUz",1193622995597692928,76,2019-11-10 20:14:33,SocialFlow,103,14,1
161,A travel pillow and depuffing eye mask are essential for on-board sleep: https://t.co/5wiyQnPDVB,1193617801308725249,96,2019-11-10 19:53:54,SocialFlow,68,8,0
162,8 better-than-black nail polish colors for fall. https://t.co/3SPsUDsp9U,1193612663064018944,72,2019-11-10 19:33:29,SocialFlow,55,11,1
163,Harry Styles is bringing men’s bell-bottoms back. https://t.co/Lqn4bDuj6x,1193607374935937025,73,2019-11-10 19:12:28,SocialFlow,368,49,0
164,It was a week of stunning developments. https://t.co/cMP1HJQSAG,1193601863125483520,63,2019-11-10 18:50:34,SocialFlow,32,5,1
165,"Our editors have rounded up the season’s very best, most high-quality black boots to invest in this fall. https://t.co/dggq22VIur",1193596438569050112,129,2019-11-10 18:29:01,SocialFlow,103,21,1
