,tweets,id,len,date,source,likes,retweets,sentiment
27,Ryan Reynolds Took Blake Lively Out on a 'Beautiful' NYC Date Night and Shared Photo Proof https://t.co/IuBpujFCIB,1194362764233494528,114,2019-11-12 21:14:07,SocialFlow,36,5,1
28,A look into the pop star's net worth. https://t.co/UNOzJ7h7Dg,1194359209233649664,61,2019-11-12 21:00:00,Twitter Media Studio,23,3,1
29,Celebrity Nail Artist Britney Tokyo Has a Genius DIY Manicure Trick https://t.co/amYJJ5HgNZ,1194357454873624576,91,2019-11-12 20:53:01,SocialFlow,19,0,0
30,Jennifer Lopez Just Debuted a Sleek Seasonal Bob You'll Want to Copy https://t.co/YdnlWsnhID,1194353187819532288,92,2019-11-12 20:36:04,SocialFlow,38,6,0
31,Selena Gomez's Dog Winnie Made His Fashion Campaign Debut https://t.co/M3r0e7fGQ8,1194350666183008256,81,2019-11-12 20:26:03,SocialFlow,49,8,0
32,"Kaia Gerber and Pete Davidson's Relationship Reportedly 'Became Romantic Recently' 
https://t.co/IPUybtgr5j",1194349327767879681,107,2019-11-12 20:20:44,SocialFlow,13,5,0
33,Every Piece You Need From Banana Republic's First Gender Neutral Line https://t.co/yv1YTBMnYZ,1194348991149989888,93,2019-11-12 20:19:24,SocialFlow,29,3,1
34,"From Kim to Kylie, find out how much each Kardashian-Jenner is worth. https://t.co/YoDRRWoBfA",1194344110510858240,93,2019-11-12 20:00:00,Twitter Media Studio,12,2,1
35,"Shay Mitchell Announces the Birth of Her Baby Girl With Their First Photo Together 
https://t.co/sq8jKQ6MFj",1194344005812838400,107,2019-11-12 19:59:35,SocialFlow,26,3,1
36,"Who Is Richard Ramirez, The Real Serial Killer In American Horror Story: 1984? #AHS https://t.co/MKm4YxqI7x",1194339225828646913,107,2019-11-12 19:40:35,SocialFlow,25,6,1
37,Everything We Know About A Christmas Prince: The Royal Baby So Far https://t.co/Au5MqAwrGT,1194334743803899904,90,2019-11-12 19:22:47,SocialFlow,14,3,1
38,Gwen Stefani and Blake Shelton's love is pure magic. ❤️❤️❤️ https://t.co/JQY8Qq1mCT,1194332030072434690,83,2019-11-12 19:12:00,Twitter Media Studio,45,5,1
39,What You Need to Know Before Getting Acrylic Nails https://t.co/2CnncomnuE,1194329366471290882,74,2019-11-12 19:01:25,SocialFlow,20,4,0
40,Here are the most expensive celebrity engagement rings 💍 https://t.co/aEXFH4RYVE,1194329013868802049,80,2019-11-12 19:00:01,Twitter Media Studio,29,5,0
41,"Princess Charlotte Looks Exactly Like Her Cousin Lady Kitty Spencer as a Kid 
https://t.co/NZ9CAKDxUD",1194323642433363969,101,2019-11-12 18:38:40,SocialFlow,29,1,1
42,Lady Gaga Will Star in a Movie About the Murder of Gucci Founder's Grandson https://t.co/A8iKGpncTW,1194318652167872513,99,2019-11-12 18:18:50,SocialFlow,151,41,0
43,What do you think about this trend? https://t.co/Ot849DJzsW,1194317937269788680,59,2019-11-12 18:16:00,Twitter Media Studio,12,1,0
44,"#SongAssociation will never be the same. Watch @Camila_Cabello sing @thegreatkhalid, @SZA, and @shawnmendes collab… https://t.co/CLvMe3gquq",1194317182173204480,139,2019-11-12 18:13:00,Twitter Media Studio,41,6,0
45,A Curator Boyfriend is the Hottest Accessory for 2020 https://t.co/CK4hgzhqwh,1194314295628247040,77,2019-11-12 18:01:32,SocialFlow,20,3,0
46,"The 10 Best T-Shirt Brands for Everyday Wear, Going Braless, and More https://t.co/5r93bt2G1o",1194311949103882248,93,2019-11-12 17:52:12,SocialFlow,16,3,1
47,Why Are We So Obsessed With Katie Holmes' Post-Breakup Style? https://t.co/pB8Vh2MYLJ,1194307319875682304,85,2019-11-12 17:33:48,SocialFlow,12,1,-1
48,Here's Jennifer Lopez Wearing the Most Extra Bejeweled Wedding Dress https://t.co/yKFkQawN7L,1194301745943449600,92,2019-11-12 17:11:39,SocialFlow,114,16,1
49,This hilarious little kid is too dizzy to stand up (via @Redbook) https://t.co/lU4xJDUSdX,1194300824324755457,89,2019-11-12 17:08:00,Twitter Media Studio,26,2,1
50,Barneys New York Has Officially Been Sold https://t.co/3dyh59L1lw,1194297811589902338,65,2019-11-12 16:56:01,SocialFlow,16,6,1
51,You are not ready for this cuteness overload 👶 https://t.co/dYC0J4MSXx,1194295036688707585,70,2019-11-12 16:45:00,Twitter Media Studio,80,26,-1
52,Noah Centineo And His Girlfriend Alexis Ren Made Their Red Carpet Debut https://t.co/ok0VgufHF3,1194292741129351168,95,2019-11-12 16:35:53,SocialFlow,8,2,0
53,'Lizzie McGuire' is coming BACK and will be on #DisneyPlus!!! 🙌 And some of your faves—including Hilary Duff—will b… https://t.co/f40rqyNIgR,1194289500060602369,140,2019-11-12 16:23:00,Twitter Media Studio,72,13,0
54,The 39 Most Memorable Fashion Moments of the '90s https://t.co/gfXtfm7GWO,1194287335061565442,73,2019-11-12 16:14:24,SocialFlow,57,19,1
55,It's finally here! Is #DisneyPlus your new favorite streaming service? https://t.co/2EJlzJ1r0d,1194286238238433281,94,2019-11-12 16:10:02,Twitter Media Studio,38,11,1
56,Zac Posen Closes His Eponymous Label https://t.co/VCyUtNfFSI,1194282525239193600,60,2019-11-12 15:55:17,SocialFlow,16,4,0
57,Leslie Mann to Star in Amazon Prime Adaptation of The Power https://t.co/Na3uVxArDK,1194278138785783814,83,2019-11-12 15:37:51,SocialFlow,26,7,0
58,Lili Reinhart Is CoverGirl's Newest Ambassador https://t.co/nYFpZPRRQr,1194274270366650368,70,2019-11-12 15:22:29,SocialFlow,302,37,0
59,Everything We Know About A Christmas Prince: The Royal Baby So Far https://t.co/sojesP0OkQ,1194269496002981890,90,2019-11-12 15:03:30,SocialFlow,26,5,1
60,The Identity Thief Who Stalked Me for Decades Was My Own Mother https://t.co/9XZTzvyF61,1194264588348526592,87,2019-11-12 14:44:00,SocialFlow,14,5,1
61,Instagram Bans Filters With Plastic Surgery-Like Effects https://t.co/O2DrCREJS3,1194260174812438528,80,2019-11-12 14:26:28,SocialFlow,74,12,0
62,The 16 Best Taylor Swift Songs to Listen to https://t.co/Oiyp7paF70,1194256182237679616,67,2019-11-12 14:10:36,SocialFlow,57,11,1
63,"Kristen Stewart's Rainbow Sequined Cutout Dress Was the Glitziest Thing on the 'Charlie's Angels' Red Carpet 
https://t.co/nUS9ocKbv3",1194251832161423360,133,2019-11-12 13:53:19,SocialFlow,128,50,0
64,Kate Middleton and Prince William Had a Rare PDA Moment During Their Event at Troubadour White City Theatre https://t.co/GP4CorbPgc,1194248535782375424,131,2019-11-12 13:40:13,SocialFlow,29,5,1
65,"Ryan Reynolds Took Blake Lively Out on a 'Beautiful' NYC Date Night and Shared Photo Proof 
https://t.co/ijHSdLrOfJ",1194244372746952704,115,2019-11-12 13:23:41,SocialFlow,42,5,1
66,"""We need people who are open to doing something with theme, something with a cartoonish twist,"" @dojacat told… https://t.co/g7p7RrCBuj",1194241692544708608,134,2019-11-12 13:13:02,SocialFlow,28,6,0
67,Pro Tip: Glossier's First Eyeliner Pen Is Good https://t.co/fghKO3xxOu,1194236424113004544,70,2019-11-12 12:52:06,SocialFlow,38,6,1
68,Shawn Mendes and Camila Cabello Are Now Making Out and Showing All the PDA at NBA Games https://t.co/oDR6vqY2Vn,1194231193648189440,111,2019-11-12 12:31:18,SocialFlow,125,18,0
69,"Selena Gomez Says People Body-Shaming Her On Social Media ""Really Messed Me Up For A Bit"" https://t.co/wqEpXkRWrM",1194226795526135809,113,2019-11-12 12:13:50,SocialFlow,476,112,1
70,"Kate Middleton and Prince William Had a Rare PDA Moment During Their Event at Troubadour White City Theatre 
https://t.co/335ympYDFL",1194221710268076032,132,2019-11-12 11:53:37,SocialFlow,104,21,1
71,Watch #ThePolitician Cast Insta-Stalk Each Other https://t.co/M7woCD7No7,1194216378548543488,72,2019-11-12 11:32:26,SocialFlow,9,2,-1
72,Why ELLE Loves the L’Oréal Paris Glycolic Acid Face Serum https://t.co/yEPstXHdOJ,1194211022803996672,81,2019-11-12 11:11:09,SocialFlow,21,6,0
73,"Meet the Powerhouse Female Duo Behind the New Standard, London https://t.co/1v8sk3Uiau",1194205719416967170,86,2019-11-12 10:50:05,SocialFlow,12,3,-1
74,ELLE Columnist E. Jean Carroll Sues Trump for Defamation https://t.co/5HhOy0BHeY,1194200443104169985,80,2019-11-12 10:29:07,SocialFlow,38,6,0
75,What You Should Actually Watch on #AppleTV Plus https://t.co/HUj402HPAj,1194195281304334336,71,2019-11-12 10:08:36,SocialFlow,29,9,0
76,"9 Women on the Best Postpartum Denim, AKA the True Mom Jean https://t.co/whAHnTkfcc",1194190116211871746,83,2019-11-12 09:48:05,SocialFlow,18,3,1
77,"How To Watch #TheMorningShow, Starring Jennifer Aniston and Reese Witherspoon https://t.co/dYAk3U3dVL",1194185005272109056,101,2019-11-12 09:27:46,SocialFlow,35,9,0
78,"Ariana Grande Reflects on How Profoundly She Has 'Healed' And Grown In the Last Year 
https://t.co/AIspFlECxd",1194179864661811200,109,2019-11-12 09:07:21,SocialFlow,66,10,1
79,All the Best Looks From the 2019 People's Choice Awards https://t.co/iaN2z3w4dK,1194174679671562241,79,2019-11-12 08:46:44,SocialFlow,57,15,1
80,Netflix's Devil Next Door Follows the Decades-Long Hunt for Holocaust Killer Ivan the Terrible https://t.co/pOtc6dtUNF,1194169482631163909,118,2019-11-12 08:26:05,SocialFlow,26,6,-1
81,Acne Studios and Mulberry Solidify Their Friendship With a Special Handbag Collection https://t.co/oGXuoWMFDI,1194164353618067459,109,2019-11-12 08:05:43,SocialFlow,16,5,1
82,"Actually, Dresses with Pockets are Bad https://t.co/QFcuoWZAye",1194159003011555329,62,2019-11-12 07:44:27,SocialFlow,21,6,-1
83,Ralph Lauren and DVF Get the Documentary Treatment https://t.co/uqK36Bu6HG,1194153755882770435,74,2019-11-12 07:23:36,SocialFlow,28,1,0
84,Everything We Know About the Upcoming Anna Delvey Netflix Show https://t.co/zcIjIsolF1,1194148550629834753,86,2019-11-12 07:02:55,SocialFlow,29,4,0
85,Vanessa Hudgens Sings ‘Breaking Free’ During Drunk Karaoke https://t.co/O48WlZNpem,1194143427706982400,82,2019-11-12 06:42:33,SocialFlow,41,11,-1
86,Tiffany's Vision &amp; Virtuosity Exhibition Offers a Glittering Escape From Reality https://t.co/A0JZOGyRCo,1194138212534571008,108,2019-11-12 06:21:50,SocialFlow,16,5,1
87,6 Go-To Trends for the Season Ahead https://t.co/4TOhWB3kQx,1194134259335872517,59,2019-11-12 06:06:08,SocialFlow,24,3,0
88,Selena Gomez Freaked Out Over 'Lose You to Love Me' Becoming Her First #1 Song on the Hot 100 https://t.co/YkhOlj23sV,1194129999097454592,117,2019-11-12 05:49:12,SocialFlow,280,48,1
89,9 Pairs of Luxury Sneakers That Are Well Worth the Money https://t.co/5x6Jfa9N8f,1194125706093121536,80,2019-11-12 05:32:08,SocialFlow,39,11,1
90,Instagram Bans Filters With Plastic Surgery-Like Effects https://t.co/0RgZmvkgft,1194121825493516289,80,2019-11-12 05:16:43,SocialFlow,50,8,0
91,Turns Out Dan Humphrey Wasn't Supposed to Be Gossip Girl https://t.co/fMmcQFXbcR,1194117936518246400,80,2019-11-12 05:01:16,SocialFlow,59,8,0
92,Barneys New York Has Officially Been Sold https://t.co/TRpAzXyoay,1194112405292363776,65,2019-11-12 04:39:17,SocialFlow,26,12,1
93,Victoria's Secret's New Campaign Features Transgender and Plus-Size Models https://t.co/iXUIOcrkab,1194106536068571136,98,2019-11-12 04:15:58,SocialFlow,103,14,-1
94,Zoe Kravitz Will Play Catwoman Opposite Robert Pattinson in #TheBatman https://t.co/gRmlKMosT2,1194102367232368640,94,2019-11-12 03:59:24,SocialFlow,54,7,0
95,The 39 Most Memorable Fashion Moments of the '90s https://t.co/2oSjLhpLL5,1194096641927778306,73,2019-11-12 03:36:39,SocialFlow,54,11,1
96,Angelina Jolie Says She Can't Move Abroad With Her Kids Yet Because of Brad Pitt https://t.co/qKaVn2O37J,1194092645846532096,104,2019-11-12 03:20:46,SocialFlow,30,5,0
97,"Princess Charlotte Looks Exactly Like Her Cousin Lady Kitty Spencer as a Kid 
https://t.co/47IRy6m86j",1194087070765064193,101,2019-11-12 02:58:37,SocialFlow,44,8,1
98,Lili Reinhart Is CoverGirl's Newest Ambassador https://t.co/om4bCQjrFn,1194082346250756099,70,2019-11-12 02:39:50,SocialFlow,44,8,0
99,This Mashup of Selena Gomez's 'Lose You to Love Me' and Justin Bieber's 'Sorry' Is So Good It's Going Viral https://t.co/9z2o2uZKtE,1194077150040797184,131,2019-11-12 02:19:12,SocialFlow,100,22,1
100,"The 10 Best T-Shirt Brands for Everyday Wear, Going Braless, and More https://t.co/Y4PV7EwkcM",1194071185560133633,93,2019-11-12 01:55:30,SocialFlow,18,5,1
101,"""Tired: boyfriend jeans. Wired: your girlfriend's going out top."" https://t.co/rbJEDWjNOp",1194067279866142726,89,2019-11-12 01:39:58,SocialFlow,41,7,1
102,26 Movies Guaranteed to Make You Cry Every Time https://t.co/niGyrlySAi,1194062092870905857,71,2019-11-12 01:19:22,SocialFlow,44,5,0
103,Every Piece You Need From Banana Republic's First Gender Neutral Line https://t.co/4es6OoHPO9,1194056761986179072,93,2019-11-12 00:58:11,SocialFlow,23,5,1
104,HBO Cancels Game Of Thrones Prequel Starring Naomi Watts https://t.co/VUeFwBkhHO,1194052790823391232,80,2019-11-12 00:42:24,SocialFlow,20,10,-1
105,Emma Watson Says She's Finally 'Very Happy' Being Single: 'It Took Me a Long Time' https://t.co/LS14gfwSKM,1194047272239206402,106,2019-11-12 00:20:28,SocialFlow,150,25,1
106,Keanu Reeves' Rumored Girlfriend Alexandra Grant Has Been His Close Friend for Years https://t.co/9OmLiIVoGD,1194042001039265792,108,2019-11-11 23:59:31,SocialFlow,13,3,0
107,"Kim Kardashian Awkwardly Interrupted Kourtney During a Red Carpet Interview About Their PCA Outfits 
https://t.co/lch22P1ngo",1194037514211921921,124,2019-11-11 23:41:42,SocialFlow,12,2,-1
108,"Tyler Cameron Sat With Hannah Brown at the PCAs, and the Look He Had When She Won Was Telling https://t.co/ZNs4wb7cok",1194032833020514304,117,2019-11-11 23:23:06,SocialFlow,31,3,0
109,Selena Gomez Looked Straight Out of a Teen Movie for Julia Michaels' '90s Prom Party https://t.co/xhtohfTLD3,1194028908355768320,108,2019-11-11 23:07:30,SocialFlow,45,8,1
110,John Legend's Reaction to Chrissy Teigen Replacing Two of His Grammys With Her New Award Is Incredible https://t.co/CsoVZxH44T,1194025073767780357,126,2019-11-11 22:52:16,SocialFlow,65,6,1
111,"Ceraadi is ready to take over the charts, and our #SongAssociation scoreboard, with a new EP in tow. Tune in to our… https://t.co/2ukHCbaPrs",1194022993682264064,140,2019-11-11 22:44:00,Twitter Media Studio,18,1,1
112,"9 Women on the Best Postpartum Denim, AKA the True Mom Jean https://t.co/qM3QTgjG1V",1194019424434630657,83,2019-11-11 22:29:49,SocialFlow,21,1,1
113,These kids blowing out candles will make your day 🎂 https://t.co/VgneuweSuN,1194015695777882112,75,2019-11-11 22:15:00,Twitter Media Studio,110,29,0
114,"For years, Mormon mommy blogger Natalie Lovin curated a picture-perfect life. Then she left the church—and her husb… https://t.co/aVxfaB4bcY",1194008566333607937,140,2019-11-11 21:46:40,SocialFlow,11,2,1
115,"Tune in as Zara Larsson  talks Euphoria-inspired makeup, her Cupid-inspired look, and why pancakes are part of her… https://t.co/L5H4MnX65V",1194006887731097600,139,2019-11-11 21:40:00,Twitter Media Studio,16,4,0
116,See All the Looks from Valentino's Extravagant Couture Show in Beijing https://t.co/xompV55i3F,1194002950047379458,94,2019-11-11 21:24:21,SocialFlow,53,16,0
117,Vanessa Hudgens Sings ‘Breaking Free’ During Drunk Karaoke https://t.co/hmD1AfdM4o,1193997604809592832,82,2019-11-11 21:03:07,SocialFlow,61,4,-1
118,"""We need people who are open to doing something with theme, something with a cartoonish twist,"" @dojacat told… https://t.co/gT8Efjl902",1193992175324999680,134,2019-11-11 20:41:32,SocialFlow,35,11,0
119,"They've deemed themselves polar opposites in looks, personalities, and fashion sense. But when it comes to… https://t.co/8IRJ8NXYxd",1193991033081614338,131,2019-11-11 20:37:00,Twitter Media Studio,9,0,-1
120,All the Best Looks From the 2019 People's Choice Awards https://t.co/nLxh5Exmv3,1193990962386788354,79,2019-11-11 20:36:43,SocialFlow,23,7,1
121,These Puffer Jackets Will Make You Feel Like Missy Elliot https://t.co/aqU00SuX4o,1193990552599121920,81,2019-11-11 20:35:05,SocialFlow,180,36,0
122,25 Hairstyles That Look Best on a Round Face https://t.co/mPsKRrVyfG,1193984726115196929,68,2019-11-11 20:11:56,SocialFlow,42,7,1
123,Hilary Duff Teases Ethan Craft And Lizzie McGuire Might Have ‘Thing’ In Reboot https://t.co/yj2TumyZlt,1193980143703920641,102,2019-11-11 19:53:43,SocialFlow,29,10,0
124,Watch as Michelle Dockery Insta-stalks her Downton crew. https://t.co/kl4UcThwni,1193975178704736256,80,2019-11-11 19:34:00,Twitter Media Studio,5,3,0
125,John Krasinski And Emily Blunt Have Rare Date Night On Broadway https://t.co/hdYMn43NbI,1193974416641843202,87,2019-11-11 19:30:58,SocialFlow,36,4,1
126,"10 Best Moisturizers for Dry Skin, According To A-List Facialists https://t.co/eZanrIMzU2",1193970222392315904,89,2019-11-11 19:14:18,SocialFlow,19,1,1
127,Pete Davidson And Kaia Gerber Were Seen Having Lunch Together https://t.co/xnRzPCXMbu,1193966196594532358,85,2019-11-11 18:58:18,SocialFlow,18,3,0
128,House of the Dragon: Everything We Know About the Game of Thrones Prequel https://t.co/kQiTReiXDQ,1193962182880485376,97,2019-11-11 18:42:21,SocialFlow,37,9,-1
129,"Watch as Ava Max sings Britney Spears, talks about her first time performing at the MTV Video Music Awards, and rem… https://t.co/706V2rS0NC",1193958569105690624,140,2019-11-11 18:28:00,Twitter Media Studio,24,5,1
130,This Perfect Everlane Coat Is the Only Reason to Like Winter Weather https://t.co/0gXGJ24PaY,1193957230116257792,92,2019-11-11 18:22:40,SocialFlow,29,5,1
131,"The Wildest Moments From 'A Warning,' the Anonymous Memoir From a Senior Trump Official https://t.co/hwn0qQbwNh",1193952578494705664,111,2019-11-11 18:04:11,SocialFlow,9,2,0
132,John Legend's Reaction to Chrissy Teigen Replacing Two of His Grammys With Her New Award Is Incredible https://t.co/9HVbxOdNmf,1193948757215326210,126,2019-11-11 17:49:00,SocialFlow,65,10,1
133,Turns Out Dan Humphrey Wasn't Supposed to Be Gossip Girl https://t.co/ldwIXjgluV,1193948712994836482,80,2019-11-11 17:48:50,SocialFlow,40,9,0
134,Netflix's Devil Next Door Follows the Decades-Long Hunt for Holocaust Killer Ivan the Terrible https://t.co/TO5Slyc3B0,1193948677980786689,118,2019-11-11 17:48:41,SocialFlow,14,3,-1
135,Selena Gomez Remains the Queen of Cozy in a Teddy Coat and Snakeskin Mock Neck https://t.co/Do7HIexLRX,1193946429175336961,102,2019-11-11 17:39:45,SocialFlow,31,6,-1
136,"The 6 Biggest Winter Fashion Trends, According to the Experts https://t.co/RgrCEKUE3E",1193941548829945856,85,2019-11-11 17:20:22,SocialFlow,22,5,0
137,Does Stamp-on Makeup Really Work? https://t.co/yDBkK9HxHy,1193937430262366209,57,2019-11-11 17:04:00,Twitter Media Studio,18,1,1
138,"Princess Charlotte Looks Exactly Like Her Cousin Lady Kitty Spencer as a Kid 
https://t.co/P8PvuRyevG",1193937303892365312,101,2019-11-11 17:03:30,SocialFlow,21,5,1
139,Selena Gomez Left The Perfect Comment On Jennifer Aniston’s Makeup Free Instagram https://t.co/I6t1CkFSfb,1193932717605507073,105,2019-11-11 16:45:16,SocialFlow,70,6,1
140,Prada and Adidas Are Fashion's Newest Power Couple https://t.co/1DjMNi8i3J,1193927311248306176,74,2019-11-11 16:23:47,SocialFlow,44,8,0
141,Gigi Hadid And Tyler Cameron Unfollow Each Other On Instagram https://t.co/jYXJCms9m4,1193921748409999366,85,2019-11-11 16:01:41,SocialFlow,18,7,-1
142,"Kylie Jenner And Drake Reportedly ‘Have Chemistry, Flirt, And Hang Out’ https://t.co/mH3kw5sDcF",1193917820876337153,95,2019-11-11 15:46:05,SocialFlow,41,3,0
143,Prince Harry And Meghan Markle Make First Joint Appearance With Prince William And Kate Middleton In Months https://t.co/zaBADEct84,1193913706750627840,131,2019-11-11 15:29:44,SocialFlow,25,2,1
144,"Tyler Cameron Sat With Hannah Brown at the PCAs, and the Look He Had When She Won Was Telling https://t.co/JKeAgEdRZj",1193908972341862403,117,2019-11-11 15:10:55,SocialFlow,17,0,0
145,Cole Sprouse And Lili Reinhart Share Make Out Shot To Instagram https://t.co/nqueuuMZs0,1193905247976075265,87,2019-11-11 14:56:07,SocialFlow,37,6,0
146,Why Meghan Markle And Kate Middleton Stood On Different Balconies For Remembrance Day https://t.co/2wIJ7lKExY,1193901043660271619,109,2019-11-11 14:39:25,SocialFlow,19,4,0
147,Instagram Will Start Hiding ‘Likes’ In The U.S. Next Week https://t.co/4KTZic1Ppb,1193896531969167360,81,2019-11-11 14:21:29,SocialFlow,45,11,0
148,Selena Gomez Looked Straight Out of a Teen Movie for Julia Michaels' '90s Prom Party https://t.co/Hzd02HfVye,1193891686113525760,108,2019-11-11 14:02:14,SocialFlow,941,189,1
149,Nicki Minaj Says She Won't Post On Instagram Anymore After They Remove Likes https://t.co/RxQD1DKKOF,1193891375445684230,100,2019-11-11 14:00:59,SocialFlow,28,3,0
150,Miley Cyrus Will Need Weeks Of Silence To Recover From Vocal Cord Surgery https://t.co/I4V8wAt148,1193887500353392641,97,2019-11-11 13:45:36,SocialFlow,16,7,0
151,Jennifer Lopez Wears A Very Extra Bodycon Sequined Red Dress https://t.co/RwbZatAUGp,1193883523352006656,84,2019-11-11 13:29:47,SocialFlow,31,3,0
152,The Best Bra Brands for Women With Large Cup Sizes https://t.co/mqEK5LWIcU,1193879712113803265,74,2019-11-11 13:14:39,SocialFlow,32,2,1
153,"Kim Kardashian Awkwardly Interrupted Kourtney During a Red Carpet Interview About Their PCA Outfits 
https://t.co/WdvOHNg7jM",1193875011335004160,124,2019-11-11 12:55:58,SocialFlow,32,4,-1
154,Introducing ELLE's 2019 #HollywoodRising stars: 9 breakout actors on every casting agent's wish list. Starring Alex… https://t.co/ko9MJs9K3v,1193744000945184768,140,2019-11-11 04:15:23,SocialFlow,45,5,0
155,Hedi Slimane's Unisex Celine Fragrance Collection Is Here https://t.co/Jw2Q6OWjxY,1193738580469911552,81,2019-11-11 03:53:50,SocialFlow,48,6,0
156,"If You Get One Spa Treatment in Hawaii, Please Make It the Maui Mahulia https://t.co/6WktjU3M8W",1193733164843311104,95,2019-11-11 03:32:19,SocialFlow,16,3,0
157,'A League of Their Own' TV Series Starring D'Arcy Carden and Abbi Jacobson Is in the Works https://t.co/BmcQgObiB1,1193727751582289926,114,2019-11-11 03:10:49,SocialFlow,40,8,1
158,"Mesh Underwear, Ice Maxi Pads: Frida Mom Knows What New Moms Really Need https://t.co/UU7WUUWeYO",1193722206850879488,96,2019-11-11 02:48:47,SocialFlow,9,1,1
